trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,False,"{'a': 0.1, 'e': 3.9500000000000037}",25,0,-79.63370490223997,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.1, 'e': 3.900000000000004}",20,0,-118.73131615688362,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.1, 'e': 3.850000000000004}",20,0,-38.92314243676528,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.1, 'e': 3.8000000000000043}",20,0,-85.02246804858414,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.1, 'e': 3.7500000000000044}",30,0,-149.03163626227067,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
26,False,"{'a': 0.1, 'e': 3.7000000000000046}",25,11,-44.847537038901926,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.1, 'e': 3.650000000000005}",30,0,-109.51583925230462,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
28,False,"{'a': 0.1, 'e': 3.600000000000005}",20,0,-6.8144430035482415,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.1, 'e': 3.550000000000005}",30,2,-104.99537199513284,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 0}",1
30,False,"{'a': 0.1, 'e': 3.5000000000000053}",25,0,-100.8288797052494,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.1, 'e': 3.4500000000000055}",25,0,-120.75396890404426,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
32,False,"{'a': 0.1, 'e': 3.4000000000000057}",30,0,-116.7065003351132,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
33,False,"{'a': 0.1, 'e': 3.350000000000006}",20,0,-82.52118273514675,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.1, 'e': 3.300000000000006}",30,0,-183.18846297940638,"{0: 15, 1: 6, 2: 5, 3: 2, 4: 2}",0
35,False,"{'a': 0.1, 'e': 3.250000000000006}",20,0,-55.492800614404395,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
36,False,"{'a': 0.1, 'e': 3.2000000000000064}",20,0,-130.9916479068741,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.1, 'e': 3.1500000000000066}",30,8,-75.39819436078815,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 1}",1
38,False,"{'a': 0.1, 'e': 3.1000000000000068}",25,0,-91.3050655429066,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.1, 'e': 3.050000000000007}",25,0,-105.09861234389197,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
40,False,"{'a': 0.1, 'e': 3.000000000000007}",30,0,-160.4334530671123,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
41,False,"{'a': 0.1, 'e': 2.9500000000000073}",20,0,-174.71012034300958,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
42,False,"{'a': 0.1, 'e': 2.9000000000000075}",20,0,-128.81668322302474,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
43,False,"{'a': 0.1, 'e': 2.8500000000000076}",25,0,-128.4913916322869,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
44,False,"{'a': 0.1, 'e': 2.800000000000008}",20,0,-115.23549592737957,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.1, 'e': 2.750000000000008}",20,8,-16.486071419428423,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.1, 'e': 2.700000000000008}",25,0,-138.32289156374628,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
47,False,"{'a': 0.1, 'e': 2.6500000000000083}",30,0,-173.15965938817257,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 3}",0
48,False,"{'a': 0.1, 'e': 2.6000000000000085}",20,0,-109.41815856373684,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
49,False,"{'a': 0.1, 'e': 2.5500000000000087}",25,6,-97.59938294190573,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 1}",1
50,False,"{'a': 0.1, 'e': 2.500000000000009}",25,0,-139.71881965001558,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
51,False,"{'a': 0.1, 'e': 2.450000000000009}",30,10,-79.79357592437397,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",1
52,False,"{'a': 0.1, 'e': 2.4000000000000092}",25,0,-180.6860516984794,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
53,False,"{'a': 0.1, 'e': 2.3500000000000094}",25,0,-255.51870128210044,"{0: 9, 1: 2, 2: 10, 3: 0, 4: 4}",0
54,False,"{'a': 0.1, 'e': 2.3000000000000096}",35,13,15.117159298760338,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 2.2500000000000098}",25,0,-225.6222206247272,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
56,False,"{'a': 0.1, 'e': 2.20000000000001}",30,0,-83.95695666077746,"{0: 17, 1: 8, 2: 4, 3: 1, 4: 0}",0
57,False,"{'a': 0.1, 'e': 2.15000000000001}",25,0,-114.97490088917127,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
58,False,"{'a': 0.1, 'e': 2.1000000000000103}",25,0,-171.00760915824824,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
59,False,"{'a': 0.1, 'e': 2.0500000000000105}",20,0,-140.1706427006818,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
60,False,"{'a': 0.1, 'e': 2.0000000000000107}",20,0,-77.11440385237894,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.1, 'e': 1.9500000000000106}",30,0,-66.29632504115177,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
62,False,"{'a': 0.1, 'e': 1.9000000000000106}",25,2,-62.04438172223331,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 1}",1
63,False,"{'a': 0.1, 'e': 1.8500000000000105}",30,0,-163.08345140629797,"{0: 17, 1: 8, 2: 2, 3: 0, 4: 3}",0
